,Fechas,TAIRE10_SSR,Estacion
415,2020-05-28,20.50416666666667,ITA-CJUS
416,2020-05-29,20.82916666666667,ITA-CJUS
417,2020-05-30,19.6375,ITA-CJUS
418,2020-06-09,22.1,ITA-CJUS
419,2020-06-10,20.5125,ITA-CJUS
420,2020-06-11,21.02727272727273,ITA-CJUS
421,2020-06-12,20.18333333333333,ITA-CJUS
422,2020-06-13,22.5125,ITA-CJUS
423,2020-06-14,23.35416666666667,ITA-CJUS
424,2020-06-15,20.65238095238096,ITA-CJUS
425,2020-06-16,22.53636363636364,ITA-CJUS
426,2020-06-17,20.72727272727272,ITA-CJUS
427,2020-06-18,21.1875,ITA-CJUS
428,2020-06-19,21.7875,ITA-CJUS
429,2020-06-20,22.12083333333333,ITA-CJUS
430,2020-06-21,22.5875,ITA-CJUS
431,2020-06-22,23.0125,ITA-CJUS
432,2020-06-23,23.68333333333333,ITA-CJUS
433,2020-06-24,22.775,ITA-CJUS
434,2020-06-25,23.32916666666667,ITA-CJUS
435,2020-06-26,21.95416666666667,ITA-CJUS
436,2020-06-27,22.10833333333333,ITA-CJUS
437,2020-06-28,20.74166666666666,ITA-CJUS
438,2020-06-29,21.5875,ITA-CJUS
439,2020-06-30,21.98095238095238,ITA-CJUS
440,2020-07-01,21.3875,ITA-CJUS
441,2020-07-02,21.39166666666667,ITA-CJUS
442,2020-07-03,22.44166666666667,ITA-CJUS
443,2020-07-04,21.07272727272727,ITA-CJUS
444,2020-07-05,19.82083333333334,ITA-CJUS
445,2020-07-06,21.07916666666667,ITA-CJUS
446,2020-07-07,21.05,ITA-CJUS
447,2020-07-08,21.0125,ITA-CJUS
448,2020-07-09,21.90416666666667,ITA-CJUS
449,2020-07-10,21.96666666666667,ITA-CJUS
450,2020-07-11,20.28636363636364,ITA-CJUS
451,2020-07-12,20.6875,ITA-CJUS
452,2020-07-13,22.30416666666667,ITA-CJUS
453,2020-07-14,21.77083333333334,ITA-CJUS
454,2020-07-15,22.17916666666666,ITA-CJUS
455,2020-07-16,21.2625,ITA-CJUS
456,2020-07-17,23.27083333333334,ITA-CJUS
457,2020-07-18,23.16363636363637,ITA-CJUS
458,2020-07-19,24.10416666666667,ITA-CJUS
459,2020-07-20,23.62916666666666,ITA-CJUS
460,2020-07-21,22.68333333333333,ITA-CJUS
461,2020-07-22,21.47916666666667,ITA-CJUS
462,2020-07-23,19.91666666666667,ITA-CJUS
463,2020-07-27,21.59166666666667,ITA-CJUS
464,2020-07-28,23.29545454545455,ITA-CJUS
465,2020-07-29,23.3375,ITA-CJUS
466,2020-07-30,21.03749999999999,ITA-CJUS
467,2020-08-01,23.3875,ITA-CJUS
468,2020-08-02,23.34545454545455,ITA-CJUS
469,2020-08-03,23.26666666666667,ITA-CJUS
470,2020-08-04,24.22499999999999,ITA-CJUS
471,2020-08-05,23.3125,ITA-CJUS
472,2020-08-06,23.1875,ITA-CJUS
473,2020-08-07,24.1375,ITA-CJUS
474,2020-08-08,24.66666666666667,ITA-CJUS
475,2020-08-09,24.64583333333333,ITA-CJUS
476,2020-08-10,24.39583333333334,ITA-CJUS
477,2020-08-13,22.125,ITA-CJUS
478,2020-08-14,20.44545454545455,ITA-CJUS
479,2020-08-15,22.21666666666667,ITA-CJUS
480,2020-08-16,21.95,ITA-CJUS
481,2020-08-17,21.10416666666667,ITA-CJUS
482,2020-08-18,22.20416666666667,ITA-CJUS
483,2020-08-19,21.14583333333333,ITA-CJUS
484,2020-08-20,21.85,ITA-CJUS
485,2020-08-21,21.83333333333333,ITA-CJUS
486,2020-08-22,20.5875,ITA-CJUS
487,2020-08-23,21.02083333333334,ITA-CJUS
488,2020-08-24,21.15454545454546,ITA-CJUS
489,2020-08-25,20.7875,ITA-CJUS
490,2020-08-26,20.7625,ITA-CJUS
491,2020-08-29,21.55,ITA-CJUS
492,2020-08-30,20.70416666666667,ITA-CJUS
493,2020-08-31,21.03478260869565,ITA-CJUS
494,2020-09-01,21.03333333333333,ITA-CJUS
495,2020-09-02,20.19545454545454,ITA-CJUS
496,2020-09-03,20.29166666666667,ITA-CJUS
497,2020-09-04,21.71250000000001,ITA-CJUS
498,2020-09-05,23.42083333333333,ITA-CJUS
499,2020-09-06,22.25,ITA-CJUS
500,2020-09-07,20.70833333333333,ITA-CJUS
501,2020-09-08,19.25833333333334,ITA-CJUS
502,2020-09-09,20.2375,ITA-CJUS
503,2020-09-10,22.13333333333333,ITA-CJUS
504,2020-09-11,22.0,ITA-CJUS
505,2020-09-12,21.62916666666666,ITA-CJUS
506,2020-09-13,23.25,ITA-CJUS
507,2020-09-14,23.39166666666666,ITA-CJUS
508,2020-09-15,21.9625,ITA-CJUS
509,2020-09-16,20.00416666666667,ITA-CJUS
510,2020-09-17,20.55416666666667,ITA-CJUS
511,2020-09-18,20.27916666666667,ITA-CJUS
512,2020-09-19,21.01304347826087,ITA-CJUS
513,2020-09-20,20.35416666666667,ITA-CJUS
514,2020-09-21,20.10833333333333,ITA-CJUS
515,2020-09-22,22.825,ITA-CJUS
516,2020-09-23,21.94545454545455,ITA-CJUS
517,2020-09-24,22.9375,ITA-CJUS
518,2020-09-25,22.90833333333333,ITA-CJUS
519,2020-09-26,21.29166666666666,ITA-CJUS
520,2020-09-27,21.90454545454545,ITA-CJUS
521,2020-09-28,22.06666666666667,ITA-CJUS
522,2020-09-29,20.85416666666667,ITA-CJUS
523,2020-09-30,20.90434782608695,ITA-CJUS
524,2020-10-01,22.27916666666667,ITA-CJUS
525,2020-10-02,20.10416666666667,ITA-CJUS
526,2020-10-03,19.82916666666667,ITA-CJUS
527,2020-10-04,20.06363636363637,ITA-CJUS
528,2020-10-05,20.28333333333333,ITA-CJUS
529,2020-10-06,21.02916666666667,ITA-CJUS
530,2020-10-07,22.1375,ITA-CJUS
531,2020-10-08,22.62083333333334,ITA-CJUS
532,2020-10-09,23.06818181818182,ITA-CJUS
533,2020-10-10,23.725,ITA-CJUS
534,2020-10-11,23.30416666666667,ITA-CJUS
535,2020-10-12,22.35416666666667,ITA-CJUS
536,2020-10-13,19.4625,ITA-CJUS
537,2020-10-14,21.275,ITA-CJUS
538,2020-10-15,22.4375,ITA-CJUS
539,2020-10-16,23.65,ITA-CJUS
540,2020-10-17,22.3375,ITA-CJUS
541,2020-10-18,21.47727272727273,ITA-CJUS
542,2020-10-19,19.66666666666666,ITA-CJUS
543,2020-10-20,22.03333333333333,ITA-CJUS
544,2020-10-21,21.9875,ITA-CJUS
545,2020-10-22,22.4125,ITA-CJUS
546,2020-10-23,21.85416666666667,ITA-CJUS
547,2020-10-24,20.535,ITA-CJUS
548,2020-10-25,20.325,ITA-CJUS
549,2020-10-26,22.00416666666666,ITA-CJUS
550,2020-10-27,21.80416666666666,ITA-CJUS
551,2020-10-28,21.3,ITA-CJUS
552,2020-10-29,20.49583333333333,ITA-CJUS
553,2020-10-30,20.73636363636363,ITA-CJUS
554,2020-10-31,20.1391304347826,ITA-CJUS
555,2020-11-01,20.73333333333333,ITA-CJUS
556,2020-11-02,22.05454545454545,ITA-CJUS
557,2020-11-03,21.45,ITA-CJUS
558,2020-11-04,21.1875,ITA-CJUS
559,2020-11-05,21.1625,ITA-CJUS
560,2020-11-06,21.00833333333334,ITA-CJUS
561,2020-11-07,21.39583333333333,ITA-CJUS
562,2020-11-08,21.04090909090909,ITA-CJUS
563,2020-11-09,20.14166666666667,ITA-CJUS
564,2020-11-10,20.71666666666667,ITA-CJUS
565,2020-11-11,19.70833333333334,ITA-CJUS
566,2020-11-12,20.29166666666667,ITA-CJUS
567,2020-11-13,20.1375,ITA-CJUS
568,2020-11-14,20.33181818181818,ITA-CJUS
569,2020-11-15,21.08333333333333,ITA-CJUS
570,2020-11-16,20.67916666666667,ITA-CJUS
571,2020-11-17,19.59166666666667,ITA-CJUS
572,2020-11-18,20.55833333333333,ITA-CJUS
573,2020-11-19,21.91818181818182,ITA-CJUS
574,2020-11-20,20.49166666666667,ITA-CJUS
575,2020-11-21,21.17916666666667,ITA-CJUS
576,2020-11-22,21.73333333333333,ITA-CJUS
577,2020-11-23,22.94545454545454,ITA-CJUS
